text, size, group
ChildCare, 10, 1
ElderCare, 5, 1
CareForSickPerson, 70, 1
DistractionAtHome, 42, 1
DifficultToCommunicateCoworkers, 25, 1
EqipmentNotAvailable, 38, 1
LackofComfyWorkSpace, 15, 1
SharingSpace, 61, 1
NotAbleToFocus, 5, 1
JobDemandLess, 25, 1
PersonalSick, 50, 1
MoreMultitasking, 51, 1
LessDistractions, 87, 2
ComfyWorkSpace, 24, 2
NoCommute, 42, 2
FocusBetter, 31, 2
JobMoreDemand, 34, 2
MoreSleep, 30, 2
EffTimeManage, 18, 2
MoreMultiTask, 25, 2
FewMeetings, 39, 2
FewOtherActivities, 22, 2
FlexibleHours, 17, 2