_id.state,employment,employment_men,employment_women,employment_other,prod,prod_men,prod_women,prod_other,jobchange,jobchange_men,jobchange_women,jobchange_other,total_population,total_population_men,total_population_women,total_population_other
OK,-18.18,0,-33.33,0,18.18,0,33.33,0,0,0,0,0,11,5,6,0
NY,-7.14,-4.61,-8.89,-50,-0.2,1.38,-1.48,-50,8.16,9.22,7.41,0,490,217,270,2
PA,-2.2,0,-3.57,0,-4.4,-6.25,-5.36,0,3.3,3.12,3.57,0,91,32,56,1
MT,0,0,0,0,12.5,40,0,0,0,0,0,0,16,5,11,0
CT,-5.88,0,-8.33,0,-11.76,60,-41.67,0,0,0,0,0,17,5,12,0
OR,-7.69,-7.69,-7.93,0,-8.1,-11.54,-6.1,-25,3.64,3.85,3.05,25,247,78,164,4
NE,0,0,0,0,-50,-66.67,0,0,0,0,0,0,8,6,2,0
MN,-8.39,-4.76,-9.57,-50,-4.01,-1.19,-5.32,0,5.47,3.57,6.38,0,274,84,188,2
AR,0,0,0,0,15.38,20,12.5,0,0,0,0,0,13,5,8,0
FL,-7.29,-4.64,-8.8,0,1.59,7.28,-1.06,-50,7.52,11.26,5.63,0,439,151,284,2
CA,-8.06,-6.45,-9.32,0,-3.46,0,-5.85,-33.33,6.81,6.95,6.58,33.33,955,403,547,3
KS,-8.43,-3.45,-11.11,0,-2.41,-3.45,-1.85,0,4.82,6.9,3.7,0,83,29,54,0
IN,-4.55,-9.09,-2.27,0,-6.06,-4.55,-6.82,0,7.58,0,11.36,0,66,22,44,0
NJ,-10.17,-7.35,-11.93,0,-4.52,1.47,-8.26,0,2.82,2.94,2.75,0,177,68,109,0
NH,-8.11,-16.67,-6.67,0,-10.81,-16.67,-6.67,0,2.7,0,3.33,0,37,6,30,0
ME,-10,0,-11.11,0,-10,-100,0,0,0,0,0,0,10,1,9,0
VT,-7.14,0,-14.29,0,-35.71,-20,-42.86,0,0,0,0,0,14,5,7,0
IA,-6.25,0,-8.33,0,0,50,-16.67,0,12.5,0,16.67,0,16,4,12,0
WI,-13.33,-7.14,-16.13,0,2.22,-7.14,6.45,0,4.44,0,6.45,0,45,14,31,0
IL,-7.3,-3.49,-9.69,0,-1.93,-2.33,-2.77,75,6.44,11.05,3.11,50,466,172,289,4
AK,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
ND,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AL,-10,0,-11.54,0,-10,33.33,-15.38,0,10,0,11.54,0,30,3,26,0
GA,-7,-5.33,-8,0,-7,-7.33,-6.8,0,6.25,6.67,6,0,400,150,250,0
WA,-7.59,-3.39,-10.59,0,-11.72,-15.25,-9.41,0,0.69,0,1.18,0,145,59,85,1
LA,-8.28,1.92,-12.28,-33.33,-5.92,-3.85,-7.02,0,6.51,9.62,5.26,0,169,52,114,3
NM,0,0,0,0,-22.22,-28.57,-18.18,0,0,0,0,0,18,7,11,0
NC,-4.44,-2.47,-5.56,0,-2.67,-3.7,-2.08,0,4.89,7.41,3.47,0,225,81,144,0
HI,0,0,0,0,-66.67,0,-66.67,0,33.33,0,33.33,0,3,0,3,0
PR,0,0,0,0,-100,-100,0,0,0,0,0,0,1,1,0,0
RI,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
MS,-10,0,-11.11,0,-20,0,-22.22,0,10,0,11.11,0,10,1,9,0
WV,-6.67,0,-9.09,0,20,0,27.27,0,6.67,0,9.09,0,15,4,11,0
VA,-2.46,-6.38,0,0,3.28,6.38,1.37,0,5.74,6.38,5.48,0,122,47,73,1
UT,-5.24,-4.35,-5.67,0,0.48,5.8,-2.13,0,7.62,8.7,7.09,0,210,69,141,0
MA,-5.3,-7.69,-3.77,0,-2.27,0,-3.77,0,5.3,2.88,6.92,0,264,104,159,1
KY,-7.14,0,-9.09,0,0,33.33,-9.09,0,7.14,33.33,0,0,14,3,11,0
SC,-5.56,0,-9.09,0,11.11,42.86,-9.09,0,0,0,0,0,18,7,11,0
Non-US,0,0,0,0,40,40,0,0,0,0,0,0,5,5,0,0
DC,-3.57,-4.76,-2.94,0,-14.29,-23.81,-5.88,-100,3.57,9.52,0,0,56,21,34,1
OH,-6.25,-4.31,-7.12,0,-3.12,-1.72,-3.37,-100,5.73,5.17,5.62,100,384,116,267,1
MI,-9.11,-7.75,-9.89,0,-0.49,0,-1.14,0,5.67,7.04,4.94,0,406,142,263,0
AZ,-6.84,-5.68,-7.78,0,-3.21,-3.96,-2.27,-33.33,3.49,3.96,3.23,0,1432,581,836,3
TN,-7.14,-5.56,-8.33,0,2.38,5.56,0,0,0,0,0,0,42,18,24,0
DE,0,0,0,0,-25,-50,0,0,0,0,0,0,4,2,2,0
TX,-5.59,-4.39,-6.3,0,-3.67,2.19,-7.05,0,7.67,8.77,7.05,0,626,228,397,1
CO,-9.84,-11.26,-8.83,-50,0.59,1.32,0.57,-50,5.91,6.62,5.7,0,508,151,351,2
MO,-13.48,-13.46,-13.48,0,0.71,-3.85,3.37,0,9.22,11.54,7.87,0,141,52,89,0
ID,-6.56,0,-8.89,0,-6.56,6.67,-11.11,0,9.84,6.67,11.11,0,61,15,45,0
WY,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
Invalid ZIP,-6.82,4.35,-15,0,-6.82,-4.35,-10,0,4.55,8.7,0,0,44,23,20,0
SD,0,0,0,0,-50,0,-100,0,0,0,0,0,2,1,1,0
NV,-10.87,-7.14,-12.5,0,-3.26,-4.29,-2.68,0,6.52,8.57,5.36,0,184,70,112,1
MD,-4.69,-1.57,-6.77,0,-3.12,-6.3,-1.04,0,8.75,10.24,7.81,0,320,127,192,1